"","Region","year","RptArea","Log_rfharv","Gui_Nonpelharv","gui_pDSRinNonpel","gui_var_pDSRinNonpel","GuiDSR","var_GuiDSR","sqrt_GuiDSR","GuiDSR_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pDSR","priv_var_pDSR","Priv_DSR","var_PrivDSR","sqrt_PrivDSR","PrivDSR_UPRLWR95","blank2","TotalDSRharv","var_totalDSRharv","sqrt_totalDSR","TotalDSR_UPRLWR95"
"326","SE",2007,"SSEI",20368,12015,0.788063337,0.000203682,9468.580994055,29403.57934845,171.474719269197,336.090449767627,NA,24146.4632991028,26756848.2789062,0.764927718,0.00011309,18470.2990691535,15724780.8424804,3965.44837849144,7772.27882184323,NA,27938.8800632085,15754184.4218289,3969.15411918319,7779.54207359905
"327","SE",2008,"SSEI",18756,10550,0.878472222,0.000185667,9267.8819421,20665.2012675,143.753960875866,281.757763316697,NA,22235.4215258235,22689171.1729488,0.719035744,0.000168073,15988.0628599741,11817493.9445401,3437.6582064743,6737.81008468963,NA,25255.9448020741,11838159.1458076,3440.6626027275,6743.69870134591
"328","SE",2009,"SSEI",14837,8319,0.886456908,0.000137878,7374.435017652,9541.951915158,97.6829151651301,191.458513723655,NA,17589.4086787504,14198104.7772729,0.71950048,0.000194057,12655.5879872771,7412882.24998535,2722.66087678678,5336.41531850209,NA,20030.0230049291,7422424.20190051,2724.41263429395,5339.84876321615
"329","SE",2010,"SSEI",20015,11058,0.825788752,0.000197612,9131.572019616,24163.869678768,155.447321233812,304.676749618272,NA,23727.9783450286,25837433.5267717,0.773500448,0.000156987,18353.601880014,15551055.0041888,3943.48259843869,7729.22589293984,NA,27485.17389963,15575218.8738676,3946.54518203803,7735.22855679453
"330","SE",2011,"SSEI",17328,8097,0.837320574,0.000163132,6779.784687678,10695.163772988,103.417424900198,202.698152804387,NA,26057.6562594726,22721971.6945686,0.719407638,0.000157457,18746.0769414431,11870187.493268,3445.31384539464,6752.81513697349,NA,25525.8616291211,11880882.657041,3446.86562793518,6755.85663075295
"331","SE",2012,"SSEI",20908,11877,0.856429463,0.000153698,10171.812732051,21681.120801042,147.245104506201,288.600404832154,NA,30342.2396878484,23087012.9574232,0.715509854,0.000174576,21710.1714890854,11984250.8353536,3461.82767268298,6785.18223845864,NA,31881.9842211364,12005931.9561547,3464.9577134728,6791.3171184067
"332","SE",2013,"SSEI",24779,13572,0.828148148,0.000211155,11239.626664656,38894.57869752,197.217085206936,386.545487005595,NA,34267.8420658215,37595985.1319944,0.697008275,0.000134514,23884.9694862707,18427916.5852242,4292.77492832133,8413.83885950981,NA,35124.5961509267,18466811.1639217,4297.3027777807,8422.71344445017
"333","SE",2014,"SSEI",25686,15018,0.780042164,0.000120658,11714.673218952,27213.244413192,164.964373163395,323.330171400255,NA,33152.0733369684,19566076.6333573,0.670035371,0.000111773,22213.0617577548,8909171.38999037,2984.82351069379,5850.25408095982,NA,33927.7349767068,8936384.63440356,2989.37863684137,5859.18212820908
"334","SE",2015,"SSEI",29160,17942,0.797106691,5.85122e-05,14301.688249922,18835.9761614408,137.244220867186,268.998672899684,NA,31796.6453596569,18451721.9403925,0.75708502,9.31176e-05,24072.7638880488,10671978.6062287,3266.79944383316,6402.926909913,NA,38374.4521379708,10690814.5823901,3269.68111325709,6408.57498198389
"335","SE",2016,"SSEI",32540,19167,0.80009298,7.43927e-05,15335.38214766,27329.9355122103,165.317680579575,324.022653935966,NA,33865.5324462817,23923054.4684109,0.694041062,0.000106387,23504.0701042128,11648125.3910494,3412.93501125488,6689.35262205957,NA,38839.4522518728,11675455.3265616,3416.93654119616,6697.19562074447
"336","SE",2017,"SSEI",30249,13768,0.822570533,9.1561e-05,11325.151098344,17356.103923264,131.742566861527,258.215431048594,NA,32660.8348717368,21220862.4266651,0.669157609,0.0001505,21855.2461707152,9665842.63405636,3108.99382985177,6093.62790650946,NA,33180.3972690592,9683198.73797962,3111.78385142343,6099.09634878992
"337","SE",2018,"SSEI",42049,16630,0.854961832061069,0.000106622612020507,14218.0152671756,29487.2190502942,171.718429559247,336.568121936125,NA,34725.8595505618,18537755.6843756,0.632468316,0.00014037,21963.0059115963,7587274.31039736,2754.50073704789,5398.82144461386,NA,36181.0211787719,7616761.52944766,2759.84809898075,5409.30227400227
"338","SE",2019,"SSEI",35867,14851,0.831491712707182,0.000139833577251955,12348.4834254144,30840.6032366222,NA,NA,NA,69950.3486044632,111154603.321565,0.602549246813441,0.000277823262155448,42148.529865957,41746696.973834,6461.16839076602,12663.8900459014,NA,54497.0132913713,41777537.5770706,6463.55456208661,12668.5669416898
"339","SE",2020,"SSEI",11107,325,0,0,0,0,0,0,NA,15196.6491548652,6640608.26213042,0.0279001468428781,3.98848950720941e-05,423.98874294044,14644.9739561005,121.016420192057,237.192183576432,NA,423.98874294044,14644.9739561005,121.016420192057,237.192183576432
"340","SE",2021,"SSEI",28388,1254,0.0421052631578947,1.78699202358437e-05,52.8,28.100735489588,NA,NA,NA,14186.636497865,6428956.91495986,0.0657142857142857,8.78339318560042e-05,932.264684145417,46004.7928473421,214.487278987221,420.395066814954,NA,985.064684145417,46032.8935828316,214.552775751869,420.523440473663
"341","SE",2022,"SSEI",33837,3983,0.0630841121495327,2.72245540966549e-05,251.264018691589,431.898194085467,20.7821604768481,40.7330345346223,NA,25305.766593391,17492823.095339,0.24113475177305,0.000325024481812432,6102.09974592408,1230962.50680435,1109.48749736279,2174.59549483107,NA,6353.36376461567,1231394.40499844,1109.68211889642,2174.97695303697
"342","SE",1998,"SSEO",3185,1723,0.944530268,0.000915486,1627.425651764,2717.829837294,52.1328096048352,102.180306825477,NA,1543.42157574843,277633.929629772,0.336687106,0.004451475,519.650143676698,43312.0469439854,208.115465412798,407.906312209083,NA,2147.0757954407,46029.8767812794,214.545745195004,420.509660582207
"343","SE",1999,"SSEO",4616,3048,0.944530268,0.000915486,2878.928256864,8505.143247744,92.223333531943,180.757733722608,NA,2236.87095562158,583156.696513874,0.336687106,0.004451475,753.125608543685,90974.8684132009,301.620404504073,591.175992827984,NA,3632.05386540768,99480.0116609449,315.404520672968,618.192860519018
"344","SE",2000,"SSEO",6910,4760,0.944530268,0.000915486,4495.96407568,20742.7155936,144.023316145685,282.285699645543,NA,3348.52216276974,1306801.91294607,0.336687106,0.004451475,1127.40423635981,203866.529841965,451.515813501549,884.970994463035,NA,5623.36831203981,224609.245435565,473.929578561589,928.901973980714
"345","SE",2001,"SSEO",5756,3877,0.944530268,0.000915486,3661.943849036,13760.788163694,117.306385860677,229.920516286927,NA,2789.30442386435,906766.020504302,0.336687106,0.004451475,939.122834223884,141459.267963629,376.11071237553,737.176996256039,NA,4601.06668325988,155220.056127323,393.979766139484,772.200341633389
"346","SE",2002,"SSEO",7617,4125,0.944530268,0.000915486,3896.1873555,15577.56646875,124.810121659864,244.627838453333,NA,3691.12783123258,1587894.25698243,0.336687106,0.004451475,1242.75514737375,247718.103807485,497.712872856917,975.517230799557,NA,5138.94250287375,263295.670276235,513.123445455609,1005.72195309299
"347","SE",2003,"SSEO",6896,4090,0.944530268,0.000915486,3863.12879612,15314.3413566,123.751126688204,242.55220830888,NA,3341.73789210711,1301511.9872539,0.336687106,0.004451475,1125.12005990408,203041.279447625,450.601020246987,883.177999684094,NA,4988.24885602408,218355.620804225,467.285374053399,915.879333144663
"348","SE",2004,"SSEO",10061,5918,0.944530268,0.000915486,5589.730126024,32062.813503864,179.060921208018,350.959405567715,NA,4875.46765262321,2770358.44857322,0.336687106,0.004451475,1641.50709435832,432187.43233681,657.409638153268,1288.5228907804,NA,7231.23722038232,464250.245840674,681.359116648977,1335.46386863199
"349","SE",2005,"SSEO",12666,7243,0.944530268,0.000915486,6841.232731124,48027.355904814,219.151445135126,429.536832464846,NA,6137.82658663409,4390688.57336862,0.336687106,0.004451475,2066.52707058369,684965.666335362,827.626525877079,1622.14799071907,NA,8907.75980170769,732993.022240176,856.150116650215,1678.05422863442
"350","SE",2006,"SSEO",12007,7233,0.962328767,0.000124578,6960.523971711,6517.458651042,80.7307788333669,158.232326513399,NA,5818.48127472884,3945687.5188521,0.514705882,0.00185025,2994.80653640979,1115240.21290743,1056.04934207992,2069.85671047664,NA,9955.33050812079,1121757.67155847,1059.13062063112,2075.896016437
"351","SE",2007,"SSEO",12018,6094,0.970031546,4.59247e-05,5911.372241324,1705.4980522492,41.2976761119703,80.9434451794617,NA,5823.81177310662,3952920.37367866,0.350404313,0.000615192,2040.68876339674,508649.282829757,713.196524689904,1397.86518839221,NA,7952.06100472074,510354.780882007,714.391195971791,1400.20674410471
"352","SE",2008,"SSEO",17754,6953,0.950980392,5.08361e-05,6612.166665576,2457.6310431449,49.5744999283392,97.1660198595448,NA,8603.42438173864,8626727.85886849,0.315789474,0.000406905,2716.87086010802,893912.036017673,945.469214738202,1853.11966088688,NA,9329.03752568402,896369.667060818,946.768011215429,1855.66530198224
