"","Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelharv","var_totalPelharv","sqrt_totalPel","TotalPel_UPRLWR95"
"367","SE",2009,"SSEI",14837,6518,NA,NA,6518,0,0,0,NA,17589.4086787504,14198104.7772729,0.203650336215178,0.000155939304590983,3582.0889912537,639304.205246102,799.565010018636,1567.14741963653,NA,10100.0889912537,639304.205246102,799.565010018636,1567.14741963653
"368","SE",2010,"SSEI",20015,8957,NA,NA,8957,0,0,0,NA,23727.9783450286,25837433.5267717,0.170993733213966,0.000127020498580212,4057.33559883659,830253.597121018,911.182526786493,1785.91775250153,NA,13014.3355988366,830253.597121018,911.182526786493,1785.91775250153
"369","SE",2011,"SSEI",17328,9231,NA,NA,9231,0,0,0,NA,26057.6562594726,22721971.6945686,0.16601714731099,0.000107999574188542,4326.017757808,702041.843486562,837.879372873304,1642.24357083168,NA,13557.017757808,702041.843486562,837.879372873304,1642.24357083168
"370","SE",2012,"SSEI",20908,9031,NA,NA,9031,0,0,0,NA,30342.2396878484,23087012.9574232,0.139674378748929,0.000103057844485446,4238.03347825132,547662.625550175,740.042313351186,1450.48293416832,NA,13269.0334782513,547662.625550175,740.042313351186,1450.48293416832
"371","SE",2013,"SSEI",24779,11207,NA,NA,11207,0,0,0,NA,34267.8420658215,37595985.1319944,0.173138128580522,9.11855522370424e-05,5933.07004576923,1237513.79888984,1112.43597518682,2180.37451136616,NA,17140.0700457692,1237513.79888984,1112.43597518682,2180.37451136616
"372","SE",2014,"SSEI",25686,10668,NA,NA,10668,0,0,0,NA,33152.0733369684,19566076.6333573,0.165740272865083,6.99041632030794e-05,5494.63368091238,615673.573865507,784.648694554134,1537.9114413261,NA,16162.6336809124,615673.573865507,784.648694554134,1537.9114413261
"373","SE",2015,"SSEI",29160,11218,NA,NA,11218,0,0,0,NA,31796.6453596569,18451721.9403925,0.129048582995951,5.69088841633866e-05,4103.31202768851,365872.895630541,604.874280847302,1185.55359046071,NA,15321.3120276885,365872.895630541,604.874280847302,1185.55359046071
"374","SE",2016,"SSEI",32540,13373,NA,NA,13373,0,0,0,NA,33865.5324462817,23923054.4684109,0.156234351527291,6.60446788227143e-05,5290.95950087126,661266.900011775,813.183189700682,1593.83905181334,NA,18663.9595008713,661266.900011775,813.183189700682,1593.83905181334
"375","SE",2017,"SSEI",30249,16481,NA,NA,16481,0,0,0,NA,32660.8348717368,21220862.4266651,0.192934782608696,0.00010585380847616,6301.41107579706,905085.539106401,951.359836815913,1864.66528015919,NA,22782.4110757971,905085.539106401,951.359836815913,1864.66528015919
"376","SE",2018,"SSEI",42049,25419,NA,NA,25419,0,0,0,NA,34725.8595505618,18537755.6843756,0.273385636692818,0.000119955271946184,9493.55122293571,1532382.41944099,1237.89434906255,2426.27292416259,NA,34912.5512229357,1532382.41944099,1237.89434906255,2426.27292416259
"377","SE",2019,"SSEI",35867,21016,NA,NA,21016,0,0,0,NA,69950.3486044632,111154603.321565,0.322132097334878,0.000253321356382263,22533.2525052616,12802084.047922,3578.00000669676,7012.88001312564,NA,43549.2525052616,12802084.047922,3578.00000669676,7012.88001312564
"378","SE",2020,"SSEI",11107,10782,NA,NA,10782,0,0,0,NA,15196.6491548652,6640608.26213042,0.936857562408223,8.6993338480508e-05,14237.095684,5849143.53437286,2418.50026553086,4740.26052044049,NA,25019.095684,5849143.53437286,2418.50026553086,4740.26052044049
"379","SE",2021,"SSEI",28388,27134,NA,NA,27134,0,0,0,NA,14186.636497865,6428956.91495986,0.84,0.000192274678111588,11916.7746582066,4576205.45249731,2139.20673439883,4192.84519942171,NA,39050.7746582066,4576205.45249731,2139.20673439883,4192.84519942171
"380","SE",2022,"SSEI",33837,29854,NA,NA,29854,0,0,0,NA,25305.766593391,17493065.751003,0.579787234042553,0.000432742446330087,14671.9604185086,6165041.06171761,2482.95007233686,4866.58214178024,NA,44525.9604185086,6165041.06171761,2482.95007233686,4866.58214178024
"381","SE",2023,"SSEI",44574,40360,NA,NA,40360,0,0,0,NA,26788.6852395201,23919887.1687195,0.720748829953198,0.000314484303241084,19307.9135423686,12659083.0471671,3557.96051793258,6973.60261514787,NA,59667.9135423686,12659083.0471671,3557.96051793258,6973.60261514787
"382","SE",2024,"SSEI",45682,40387,NA,NA,40387,0,0,0,NA,24102.0815397456,21333101.9749431,0.714285714285714,0.000206979343461523,17215.7725283897,11008887.6525972,3317.96438386509,6503.21019237557,NA,57602.7725283897,11008887.6525972,3317.96438386509,6503.21019237557
"383","SE",1998,"SSEO",3185,1462,0.713892052242862,0.00730722178108114,1462,15618.7773526412,124.975106931905,244.951209586535,NA,1543.42157574843,277633.929629772,0.636779921987621,0.00401038659075112,982.819870599095,123244.175057035,351.06149754286,688.080535184005,NA,2444.81987059909,138862.952409676,372.643197186902,730.380666486328
"384","SE",1999,"SSEO",4616,1568,0.713892052242862,0.00730722178108114,1568,17965.7108442888,134.036229595915,262.711010007993,NA,2236.87095562158,583156.696513874,0.636779921987621,0.00401038659075112,1424.39451261709,258868.453458404,508.791168809369,997.230690866363,NA,2992.39451261709,276834.164302692,526.150324814774,1031.25463663696
"385","SE",2000,"SSEO",6910,2150,0.713892052242862,0.00730722178108114,2150,33777.6326830476,183.786921958684,360.222367039021,NA,3348.52216276974,1306801.91294607,0.636779921987621,0.00401038659075112,2132.27168158234,580101.01264915,761.643625752326,1492.82150647456,NA,4282.27168158234,613878.645332197,783.504081247952,1535.66799924599
"386","SE",2001,"SSEO",5756,1879,0.713892052242862,0.00730722178108114,1879,25799.1768163781,160.621221562962,314.817594263405,NA,2789.30442386435,906766.020504302,0.636779921987621,0.00401038659075112,1776.17305342807,402521.515708934,634.445833549984,1243.51383375797,NA,3655.17305342807,428320.692525312,654.462139871599,1282.74579414833
"387","SE",2002,"SSEO",7617,3492,0.713892052242862,0.00730722178108114,3492,89104.7300606974,298.504154176617,585.068142186169,NA,3691.12783123258,1587894.25698243,0.636779921987621,0.00401038659075112,2350.43609241862,704880.408675446,839.571562569532,1645.56026263628,NA,5842.43609241862,793985.138736144,891.05843732953,1746.47453716588
