"Region","year","RptArea","Log_rfharv","Gui_nonpelharv","Gui_Yeh","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYEharv","var_totalYEharv","sqrt_totalYE","TotalYE_UPRLWR95"
"SE",2007,"EWYKT",2290,334,108,NA,NA,108,0,0,0,NA,596.696707260235,83423.81051903,0.006369427,4.05696e-05,NA,NA,3.80061611803444,21.2136240390712,4.60582501177272,9.02741702307454,NA,111.800616118034,21.2136240390712,4.60582501177272,9.02741702307454
"SE",2008,"EWYKT",2857,401,161,NA,NA,161,0,0,0,NA,744.437769712878,129849.277997606,0.044776119,0.000648049,NA,NA,33.3330341647584,703.624335780156,26.5259181892005,51.9907996508329,NA,194.333034164758,703.624335780156,26.5259181892005,51.9907996508329
"SE",2009,"EWYKT",2494,301,79,NA,NA,79,0,0,0,NA,649.852221793461,98949.1246706861,0.015625,8.05281e-05,NA,NA,10.1539409655228,66.1333397676502,8.13224075932644,15.9391918882798,NA,89.1539409655228,66.1333397676502,8.13224075932644,15.9391918882798
"SE",2010,"EWYKT",2435,503,119,NA,NA,119,0,0,0,NA,634.478813178459,94322.8662543993,0.014925373,7.3513e-05,NA,NA,9.46983294728582,57.5395967049861,7.58548592411759,14.8675524112705,NA,128.469832947286,57.5395967049861,7.58548592411759,14.8675524112705
"SE",2011,"EWYKT",2848,485,111,NA,NA,111,0,0,0,NA,1436.43668122271,404683.388629028,0.018115942,6.46827e-05,NA,NA,26.0224036037031,292.451055948019,17.1012004241813,33.5183528313954,NA,137.022403603703,292.451055948019,17.1012004241813,33.5183528313954
"SE",2012,"EWYKT",3241,514,147,NA,NA,147,0,0,0,NA,535.144277011863,48300.3406377392,0.022222222,0.000162152,NA,NA,11.8920949257871,78.1210084438519,8.83860896543409,17.3236735722508,NA,158.892094925787,78.1210084438519,8.83860896543409,17.3236735722508
"SE",2013,"EWYKT",3884,452,56,NA,NA,56,0,0,0,NA,591.36648814078,87012.2978025348,0.015299545,0.000235537,NA,NA,9.04763819680183,123.232775492063,11.1010258756595,21.7580107162927,NA,65.0476381968018,123.232775492063,11.1010258756595,21.7580107162927
"SE",2014,"EWYKT",4695,675,125,NA,NA,125,0,0,0,NA,1023.13978494624,234030.602065489,0.015299545,0.000235537,NA,NA,15.6535731810753,356.46750045394,18.8803469368002,37.0054799961284,NA,140.653573181075,356.46750045394,18.8803469368002,37.0054799961284
"SE",2015,"EWYKT",5729,1014,215,NA,NA,215,0,0,0,NA,2397.56789359728,1115072.92742745,0,0,NA,NA,0,0,0,0,NA,215,0,0,0
"SE",2016,"EWYKT",7499,1262,314,NA,NA,314,0,0,0,NA,2107.86743084974,521828.911830426,0.0375,0.000456883,NA,NA,79.0450286568652,3002.21585614689,54.7924799233151,107.393260649698,NA,393.045028656865,3002.21585614689,54.7924799233151,107.393260649698
