"Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFharv","var_totalBRFharv","sqrt_totalBRF","TotalBRF_UPRLWR95"
"SE",2022,"NSEO",10558,9674,0.869030898876405,3.75755020384526e-05,8407.00491573034,3516.55130460919,59.3005169000169,116.229013124033,NA,4984.01580854099,3115948.89301432,0.897826086956522,0.000199857090494253,4474.7794107118,2517327.76276821,1586.6088877755,3109.75342003998,NA,12881.7843264421,2520844.31407282,1587.71669830383,3111.92472867551
"SE",2023,"NSEO",14337,13719,0.798546628986677,6.07285429674183e-05,10955.2612030682,11429.7774320276,106.910137180847,209.543868874461,NA,18770.2219843733,48858955.4862636,0.772401433691756,0.000315614827509292,14498.1463714425,29276065.4622678,5410.73612942526,10605.0428136735,NA,25453.4075745107,29287495.2396998,5411.79223914775,10607.1127887296
"SE",2024,"NSEO",15816,15088,0.880965441579813,6.53366556522727e-05,13292.0065825562,14873.7422597447,121.957952835167,239.037587556927,NA,19906.2349385452,40581683.3942191,0.890951276102088,0.000225946743521276,17735.4854208848,32312206.4930548,5684.38268355103,11141.39005976,NA,31027.492003441,32327080.2353146,5685.69083184397,11143.9540304142
"SE",1998,"SSEI",6261,2769,0.827773701,0.004411105,2292.105378069,33821.534443905,183.906319749771,360.456386709551,NA,7422.47676333871,2528282.45560498,0.102415992,0.00173926,760.180320814284,126737.91649227,356.00269169245,697.765275717202,NA,3052.28569888328,160559.450936175,400.698703437102,785.36945873672
"SE",1999,"SSEI",7370,3832,0.827773701,0.004411105,3172.028822232,64773.65390752,254.50668735324,498.833107212351,NA,8737.20711480695,3503266.36269439,0.102415992,0.00173926,894.829733972412,175611.976716066,419.060826988238,821.359220896946,NA,4066.85855620441,240385.630623586,490.291373189031,960.9710914505
"SE",2000,"SSEI",11989,5112,0.827773701,0.004411105,4231.579159512,115273.39550112,339.519359538039,665.457944694556,NA,14213.0768113189,9270520.18438958,0.102415992,0.00173926,1455.64636100343,464713.272191704,681.69881340054,1336.12967426506,NA,5687.22552051543,579986.667692824,761.568557447604,1492.6743725973
"SE",2001,"SSEI",9348,4514,0.827773701,0.004411105,3736.570486314,89881.54005658,299.802501751703,587.612903433338,NA,11082.1454693644,5636059.77962201,0.102415992,0.00173926,1134.98892173326,282524.791528584,531.530612033385,1041.79999958543,NA,4871.55940804726,372406.331585165,610.251039806705,1196.09203802114
"SE",2002,"SSEI",8033,3969,0.827773701,0.004411105,3285.433819269,69487.965031905,263.605699923019,516.667171849118,NA,9523.2001022041,4161919.8980246,0.102415992,0.00173926,975.327985481735,208629.006349348,456.759243310246,895.248116888082,NA,4260.76180475073,278116.971381253,527.367965827707,1033.64121302231
"SE",2003,"SSEI",11263,5648,0.827773701,0.004411105,4675.265863248,140713.82603392,375.118416015423,735.232095390229,NA,13352.3967074723,8181752.76003623,0.102415992,0.00173926,1367.49895437331,410135.464003663,640.418194622594,1255.21966146028,NA,6042.76481762131,550849.290037583,742.192219062948,1454.69674936338
"SE",2004,"SSEI",13195,5266,0.827773701,0.004411105,4359.056309466,122323.27644538,349.747446660272,685.504995454134,NA,15642.8016119237,11229410.8731841,0.102415992,0.00173926,1602.07304474437,562908.679110556,750.272403271343,1470.53391041183,NA,5961.12935421037,685231.955555936,827.787385477658,1622.46327553621
