"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFrel","var_totalBRFrel","sqrt_totalBRF","TotalBRF_UPRLWR95"
"147","SC",2017,"PWSI",841,589,0.716633336,0.000585216,422.097034904,203.023719936,14.2486392310283,27.9273328928156,NA,2812.92110376992,4853912.43058098,0.543829086,0.002234946,1529.74831285331,1464077.26289169,1209.99060446422,2371.58158474987,NA,1951.84534775731,1464280.28661163,1210.07449630658,2371.7460127609
"148","SC",2018,"PWSI",723,364,0.903280518,0.00029219,328.794108552,38.71400624,6.22205803894499,12.1952337563322,NA,3495.81181959564,14276073.6687363,0.332933876,0.000913946,1163.87417886459,1606647.51796506,1267.53600263072,2484.37056515621,NA,1492.66828741659,1606686.2319713,1267.55127390228,2484.40049684847
"149","SC",2019,"PWSI",936,444,0.785969975,0.000678311,348.9706689,133.719517296,11.5637155489056,22.6648824758549,NA,6636.27092511013,17989742.9391782,0.3079288,0.000674394,2043.49894244405,1747622.59800994,1321.97677665303,2591.07448223994,NA,2392.46961134405,1747756.31752723,1322.02735127804,2591.17360850496
"150","SC",2020,"PWSI",375,141,0.762931246084986,0.000581566430328607,107.573305697983,11.562122201363,3.40031207411364,6.66461166526274,NA,2763.45933562428,3878494.50871839,0.356071879317188,0.000875132427773717,983.990159052366,501820.720663937,708.393055205891,1388.45038820355,NA,1091.56346475035,501832.282786138,708.401215968845,1388.46638329894
"151","SC",2021,"PWSI",712,322,0.795913991593822,0.00051730862923252,256.284305293211,53.6366279133446,7.32370315573649,14.3544581852435,NA,2375.28830313015,2735926.70504548,0.472540497637137,0.00100909301914973,1122.41991679279,619371.547402338,787.001618424218,1542.52317211147,NA,1378.704222086,619425.184030251,787.035694254238,1542.58996073831
"152","SC",2022,"PWSI",1367,817,0.816502253831858,0.000168723337071345,667.082341380628,112.620971538415,10.6123028386121,20.8001135636798,NA,4244.22380691169,11158383.4648738,0.0333720194891317,8.55658562449568e-05,141.638319600494,14923.1105674967,122.160184051502,239.433960740943,NA,808.720660981122,15035.7315390352,122.620273768391,240.335736586046
"153","SC",2023,"PWSI",838,374,0.811286071277213,0.000725597070278663,303.420990657678,101.493615802298,10.0744039924106,19.7458318251247,NA,2183.90221402214,2074231.49957228,0.700566641314865,0.000694612656926074,1529.96903903759,1022773.2772792,1011.32253869831,1982.19217584869,NA,1833.39002969527,1022874.770895,1011.37271611162,1982.29052357878
"154","SC",1999,"PWSO",748,689,0.986705376,8.4089e-05,679.840004064,39.918814169,6.31813375681459,12.3835421633566,NA,392.788175090064,125537.229387322,0.70942926,0.010326715,278.655424390895,66071.2355973417,257.043256276724,503.804782302379,NA,958.495428454895,66111.1544115107,257.120894544786,503.95695330778
"155","SC",2000,"PWSO",1756,1670,0.979998307,0.000268515,1636.59717269,748.8614835,27.3653336084178,53.6360538724989,NA,922.106999275605,691860.230053877,0.70942926,0.010326715,654.169686136913,364131.504920223,603.433098959796,1182.7288739612,NA,2290.76685882691,364880.366403723,604.053281096729,1183.94443094959
"156","SC",2001,"PWSO",1756,1662,0.911022333,0.000389715,1514.119117446,1076.48792046,32.8098753496565,64.3073556853268,NA,922.106999275605,691860.230053877,0.651109204,0.004454235,600.392354301168,300178.497650392,547.885478590546,1073.85553803747,NA,2114.51147174717,301254.985570852,548.867001714306,1075.77932336004
