"","Region","year","RptArea","Log_rfrel","Gui_nonpelrel","Gui_Yer","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYErel","var_totalYErel","sqrt_totalYE","TotalYE_UPRLWR95"
"286","SE",2019,"NSEI",5817,2821,325,NA,NA,325,0,NA,NA,NA,13496.7635937761,92145960.9024565,0.0626326963906582,3.11788856789664e-05,NA,NA,845.338696425469,370027.847983842,608.299143500829,1192.26632126162,NA,1170.33869642547,370027.847983842,608.299143500829,1192.26632126162
"287","SE",2020,"NSEI",981,667,157,NA,NA,157,0,0,0,NA,1027.44457274827,570222.900891816,0.123615899296923,0.00436561921182578,NA,NA,127.00848483802,15811.4223181942,125.743478233244,246.457217337157,NA,284.00848483802,15811.4223181942,125.743478233244,246.457217337157
"288","SE",2021,"NSEI",2631,1692,306,NA,NA,306,0,0,0,NA,3605.83650329188,6142269.49874339,0.123615899296923,0.00436561921182578,NA,NA,445.738722072098,177436.187067593,421.231749833264,825.614229673197,NA,751.738722072098,177436.187067593,421.231749833264,825.614229673197
"289","SE",2022,"NSEI",3759,2525,488,NA,NA,488,0,0,0,NA,10507.2516697456,89964495.3628392,0.123615899296923,0.0040726028462489,NA,NA,1298.8633642947,2190752.14226159,1480.11896219919,2901.0331659104,NA,1786.8633642947,2190752.14226159,1480.11896219919,2901.0331659104
"290","SE",1999,"NSEO",1134,236,NA,0.439982315,0.008608119,103.83582634,479.437795824,21.896068044834,42.9162933678746,NA,722.837895387813,286195.987094234,0.190255251,0.013070167,NA,NA,137.52370521932,20929.1747945496,144.66919089616,283.551614156474,NA,241.35953155932,21408.6125903736,146.316822649939,286.78097239388
"291","SE",2000,"NSEO",2094,464,NA,0.439982315,0.008608119,204.15179416,1853.293588224,43.0498964949278,84.3777971300586,NA,1334.76415603358,975867.344812991,0.190255251,0.013070167,NA,NA,253.945889531972,71364.0272990939,267.140463612486,523.595308680472,NA,458.097683691972,73217.3208873179,270.586993196861,530.350506665847
"292","SE",2001,"NSEO",1662,370,NA,0.439982315,0.008608119,162.79345655,1178.4514911,34.3285812567312,67.2840192631932,NA,1059.39733874298,614751.31977698,0.190255251,0.013070167,NA,NA,201.555906591278,44956.0385434617,212.028390890139,415.575646144673,NA,364.349363141278,46134.4900345617,214.789408571656,420.987240800445
"293","SE",2002,"NSEO",2182,380,NA,0.439982315,0.008608119,167.1932797,1243.0123836,35.2563807501564,69.1025062703066,NA,1390.85739659277,1059612.13514152,0.190255251,0.013070167,NA,NA,264.617923093965,77488.1849880751,278.366996944816,545.599314011839,NA,431.811202793965,78731.1973716751,280.590800582762,549.957969142213
"294","SE",2003,"NSEO",2025,402,NA,0.439982315,0.008608119,176.87289063,1391.106462876,37.2975396356918,73.1031776859559,NA,1290.78195604967,912614.754764778,0.190255251,0.013070167,NA,NA,245.5780450345,66738.4400336403,258.337840886,506.34216813656,NA,422.4509356645,68129.5464965163,261.016372085194,511.59208928698
"295","SE",2004,"NSEO",2356,428,NA,0.439982315,0.008608119,188.31243082,1576.869670896,39.7098183185972,77.8312439044506,NA,1501.76903133482,1235344.26420461,0.190255251,0.013070167,NA,NA,285.719444000633,90339.268203888,300.56491512465,589.107233644314,NA,474.031874820633,91916.137874784,303.176743624547,594.226417504111
"296","SE",2005,"NSEO",2502,474,NA,0.439982315,0.008608119,208.55161731,1934.037744444,43.977695988353,86.1962841371719,NA,1594.83281680803,1393195.43125415,0.190255251,0.013070167,NA,NA,303.425317864849,101882.737769084,319.190754516924,625.613878853172,NA,511.976935174849,103816.775513528,322.206107194646,631.523970101506
"297","SE",2006,"NSEO",1591,183,126,NA,NA,126,0,0,0,NA,1014.14029238272,563349.34041902,0.393939394,0.003673095,NA,NA,399.509812212233,93272.1384541815,305.404876277674,598.593557504241,NA,525.509812212233,93272.1384541815,305.404876277674,598.593557504241
"298","SE",2007,"NSEO",1002,179,73,NA,NA,73,0,0,0,NA,638.698034549019,223446.148878002,0.442622951,0.004111798,NA,NA,282.702408849987,46372.5818899519,215.342940190645,422.072162773665,NA,355.702408849987,46372.5818899519,215.342940190645,422.072162773665
