"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelrel","var_totalPelrel","sqrt_totalPel","TotalPel_UPRLWR95"
"242","SE",2000,"NSEI",7565,5401,0.658473355230599,0.00957302887023125,5401,279252.920140771,528.443866593956,1035.74997852415,NA,10887.8321188463,26540765.4231815,0.481909605455261,0.0139632864583167,5246.95088065634,8189616.774897,2861.7506486235,5609.03127130205,NA,10647.9508806563,8468869.69503777,2910.13224700146,5703.85920412286
"243","SE",2001,"NSEI",5344,4017,0.658473355230599,0.00957302887023125,4017,154473.160455395,393.030737290857,770.34024509008,NA,7691.28550470781,13244283.7842448,0.481909605455261,0.0139632864583167,3706.50436301751,4086755.1075302,2021.57243440105,3962.28197142606,NA,7723.50436301751,4241228.26798559,2059.42425643324,4036.47154260914
"244","SE",2002,"NSEI",5038,3909,0.658473355230599,0.00957302887023125,3909,146278.571158246,382.463816796107,749.62908092037,NA,7250.8788122601,11770960.5766218,0.481909605455261,0.0139632864583167,3494.26814762018,3632135.49639207,1905.81622838932,3735.39980764306,NA,7403.26814762018,3778414.06755032,1943.81430891696,3809.87604547724
"245","SE",2003,"NSEI",6124,4702,0.658473355230599,0.00957302887023125,4702,211648.218978284,460.052408947377,901.702721536858,NA,8813.89079918238,17392657.4227307,0.481909605455261,0.0139632864583167,4247.49863755974,5366808.25583204,2316.6372732545,4540.60905557882,NA,8949.49863755974,5578456.47481032,2361.87562644825,4629.27622783857
"246","SE",2004,"NSEI",4849,3725,0.658473355230599,0.00957302887023125,3725,132831.758717502,364.460915212458,714.343393816418,NA,6978.86291398357,10904354.1264616,0.481909605455261,0.0139632864583167,3363.18107340417,3364728.93865704,1834.3197482056,3595.26670648297,NA,7088.18107340417,3497560.69737454,1870.1766487085,3665.54623146865
"247","SE",2005,"NSEI",6055,4750,0.658473355230599,0.00957302887023125,4750,215991.463884593,464.748818056155,910.907683390063,NA,8714.58340774809,17002934.1866719,0.481909605455261,0.0139632864583167,4199.64145173485,5246552.34381503,2290.53538366362,4489.44935198069,NA,8949.64145173485,5462543.80769963,2337.20855032229,4580.92875863169
"248","SE",2006,"NSEI",4774,3633,NA,NA,3633,0,0,0,NA,6870.92009720717,10569645.1744349,0.557894736842105,0.00130501692828563,3833.25015949452,3365168.28069552,1834.43950041846,3595.50142082017,NA,7466.25015949452,3365168.28069552,1834.43950041846,3595.50142082017
"249","SE",2007,"NSEI",2342,1890,NA,NA,1890,0,0,0,NA,3370.69435853774,2543720.32608506,0.363636363636364,0.00111252383979657,1225.70703946827,351829.691162765,593.152333859325,1162.57857436428,NA,3115.70703946827,351829.691162765,593.152333859325,1162.57857436428
"250","SE",2008,"NSEI",2770,2036,NA,NA,2036,0,0,0,NA,3986.68803294174,3558402.87922,0.325581395348837,0.00128408275059381,1297.99145258568,402180.338183538,634.176898178685,1242.98672043022,NA,3333.99145258568,402180.338183538,634.176898178685,1242.98672043022
"251","SE",2009,"NSEI",1738,1432,NA,NA,1432,0,0,0,NA,2501.39487409846,1400861.25281166,0.30316742081448,0.00096025879895989,758.341432418992,136107.343130907,368.92728705113,723.097482620215,NA,2190.34143241899,136107.343130907,368.92728705113,723.097482620215
"252","SE",2010,"NSEI",1607,1074,NA,NA,1074,0,0,0,NA,2312.85475412901,1197642.86736942,0.349633251833741,0.000557328041779178,808.650928705255,150052.742252255,387.366418591307,759.238180438961,NA,1882.65092870525,150052.742252255,387.366418591307,759.238180438961
"253","SE",2011,"NSEI",1442,1013,NA,NA,1013,0,0,0,NA,1731.91590013141,874226.185743456,0.390804597701149,0.000686099032036865,676.840696603078,136176.803313437,369.021413082543,723.281969641785,NA,1689.84069660308,136176.803313437,369.021413082543,723.281969641785
"254","SE",2012,"NSEI",1202,653,NA,NA,653,0,0,0,NA,2392.91011904762,3409167.61911695,0.525291828793774,0.000486082501747108,1256.97613257365,945137.207582301,972.18167416502,1905.47608136344,NA,1909.97613257365,945137.207582301,972.18167416502,1905.47608136344
"255","SE",2013,"NSEI",940,659,NA,NA,659,0,0,0,NA,1650.46132500867,967135.274607714,0.601220752797558,0.000244149041958346,992.291600284968,350488.092485666,592.020348033466,1160.35988214559,NA,1651.29160028497,350488.092485666,592.020348033466,1160.35988214559
"256","SE",2014,"NSEI",1454,1026,NA,NA,1026,0,0,0,NA,1367.71820486059,1884001.59703225,0.497773820124666,0.000222811982284459,680.814315687508,467652.191750673,683.851001133048,1340.34796222077,NA,1706.81431568751,467652.191750673,683.851001133048,1340.34796222077
"257","SE",2015,"NSEI",1252,848,NA,NA,848,0,0,0,NA,1286.32760649565,807027.488687697,0.492598684210526,0.000205716230884432,633.64328642343,196334.42011218,443.096400473057,868.468944927192,NA,1481.64328642343,196334.42011218,443.096400473057,868.468944927192
"258","SE",2016,"NSEI",1537,983,NA,NA,983,0,0,0,NA,1900.11878574571,2125067.19137228,0.440884820747521,0.000188172057696143,837.733530252495,414148.603432447,643.543785171178,1261.34581893551,NA,1820.73353025249,414148.603432447,643.543785171178,1261.34581893551
"259","SE",2017,"NSEI",1943,1191,NA,NA,1191,0,0,0,NA,3475.21715462704,5155138.9606057,0.687445127304653,0.000188808720781847,2389.0210992739,2439473.31332788,1561.88133778718,3061.28742206288,NA,3580.0210992739,2439473.31332788,1561.88133778718,3061.28742206288
"260","SE",2018,"NSEI",3774,1671,NA,NA,1671,0,0,0,NA,8251.05514157973,44703940.9758877,0.56642800318218,0.000195531306045564,4673.62868799107,14364895.7199286,3790.10497479009,7428.60575058858,NA,6344.62868799107,14364895.7199286,3790.10497479009,7428.60575058858
