"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Charter",2012,"Homer","NG",195,34,181,28
"Charter",2012,"Kodiak","AFOGNAK",20,0,20,0
"Charter",2012,"Kodiak","EASTSIDE",25,0,21,0
"Charter",2012,"Kodiak","NORTHEAST",139,5,108,4
"Charter",2012,"Seward","NG",425,134,368,74
"Charter",2012,"Seward","PWSI",190,139,166,44
"Charter",2012,"Seward","PWSO",359,169,293,116
"Charter",2012,"Valdez","PWSI",39,39,39,20
"Charter",2012,"Valdez","PWSO",188,152,182,126
"Charter",2012,"Whittier","PWSI",111,83,76,27
"Charter",2012,"Whittier","PWSO",17,4,15,1
"Charter",2013,"Homer","CI",69,5,28,0
"Charter",2013,"Homer","NG",407,93,305,71
"Charter",2013,"Kodiak","NORTHEAST",452,20,244,19
"Charter",2013,"Seward","NG",571,119,483,60
"Charter",2013,"Seward","PWSI",103,54,78,22
"Charter",2013,"Seward","PWSO",270,89,181,56
"Charter",2013,"Valdez","PWSI",26,31,23,19
"Charter",2013,"Valdez","PWSO",283,181,270,143
"Charter",2013,"Whittier","PWSI",242,89,212,37
"Charter",2013,"Whittier","PWSO",43,26,41,24
"Charter",2014,"CCI","CI",8,3,7,2
"Charter",2014,"CCI","NG",8,5,8,1
"Charter",2014,"Homer","CI",138,4,52,0
"Charter",2014,"Homer","NG",290,57,250,35
"Charter",2014,"Kodiak","AFOGNAK",28,4,12,2
"Charter",2014,"Kodiak","NORTHEAST",308,14,251,13
"Charter",2014,"Seward","NG",464,124,387,38
"Charter",2014,"Seward","PWSI",203,45,155,13
"Charter",2014,"Seward","PWSO",530,125,377,68
"Charter",2014,"Valdez","PWSI",170,44,163,21
"Charter",2014,"Valdez","PWSO",197,97,196,78
"Charter",2014,"Whittier","PWSI",143,95,115,33
"Charter",2014,"Whittier","PWSO",249,37,216,18
"Charter",2015,"Homer","AFOGNAK",23,4,21,3
"Charter",2015,"Homer","CI",95,1,38,0
"Charter",2015,"Homer","NG",329,65,286,40
"Charter",2015,"Kodiak","AFOGNAK",42,6,26,5
"Charter",2015,"Kodiak","EASTSIDE",25,1,21,0
"Charter",2015,"Kodiak","NORTHEAST",103,9,72,9
"Charter",2015,"Seward","NG",219,34,176,8
"Charter",2015,"Seward","PWSI",134,36,109,11
"Charter",2015,"Seward","PWSO",203,75,130,34
"Charter",2015,"Valdez","PWSI",72,26,63,7
"Charter",2015,"Valdez","PWSO",478,216,459,168
"Charter",2015,"Whittier","PWSI",146,106,136,59
"Charter",2015,"Whittier","PWSO",233,12,224,8
"Charter",2016,"Homer","AFOGNAK",2,4,2,4
"Charter",2016,"Homer","CI",105,5,41,0
"Charter",2016,"Homer","NG",221,14,192,8
"Charter",2016,"Kodiak","AFOGNAK",9,13,8,8
"Charter",2016,"Kodiak","EASTSIDE",52,4,47,3
"Charter",2016,"Kodiak","NORTHEAST",321,11,175,4
"Charter",2016,"Seward","NG",966,163,818,67
"Charter",2016,"Seward","PWSI",332,111,191,20
"Charter",2016,"Seward","PWSO",312,104,261,62
"Charter",2016,"Valdez","PWSI",102,53,67,39
"Charter",2016,"Valdez","PWSO",201,147,186,130
"Charter",2016,"Whittier","PWSI",163,55,132,22
"Charter",2016,"Whittier","PWSO",316,23,295,17
"Charter",2017,"Homer","AFOGNAK",0,6,0,6
"Charter",2017,"Homer","CI",74,3,45,2
"Charter",2017,"Homer","NG",94,36,75,16
"Charter",2017,"Kodiak","AFOGNAK",14,0,14,0
"Charter",2017,"Kodiak","EASTSIDE",117,2,108,2
"Charter",2017,"Kodiak","NORTHEAST",239,6,150,5
"Charter",2017,"Seward","NG",377,111,320,32
"Charter",2017,"Seward","PWSI",149,33,105,9
"Charter",2017,"Seward","PWSO",223,77,189,44
"Charter",2017,"Valdez","PWSI",27,6,16,1
"Charter",2017,"Valdez","PWSO",254,95,233,55
"Charter",2017,"Whittier","PWSI",172,165,140,104
"Charter",2017,"Whittier","PWSO",161,25,157,7
"Charter",2018,"CCI","CI",3,5,1,3
"Charter",2018,"CCI","EASTSIDE",1,0,0,0
"Charter",2018,"CCI","NG",85,9,76,3
"Charter",2018,"Homer","AFOGNAK",74,8,37,8
"Charter",2018,"Homer","CI",284,15,139,9
"Charter",2018,"Homer","NG",197,35,141,16
"Charter",2018,"Kodiak","AFOGNAK",9,7,9,4
"Charter",2018,"Kodiak","EASTSIDE",36,0,36,0
"Charter",2018,"Kodiak","NORTHEAST",333,10,252,6
"Charter",2018,"Seward","NG",568,150,502,73
"Charter",2018,"Seward","PWSI",157,38,141,7
"Charter",2018,"Seward","PWSO",193,80,168,48
"Charter",2018,"Valdez","PWSI",0,7,0,6
"Charter",2018,"Valdez","PWSO",344,117,324,81
"Charter",2018,"Whittier","PWSI",143,103,132,54
"Charter",2018,"Whittier","PWSO",102,5,88,1
"Charter",2019,"CCI","CI",24,0,24,0
"Charter",2019,"Homer","AFOGNAK",0,5,0,5
"Charter",2019,"Homer","CI",246,11,192,5
"Charter",2019,"Homer","NG",365,78,246,55
"Charter",2019,"Kodiak","EASTSIDE",35,0,34,0
"Charter",2019,"Kodiak","NORTHEAST",217,12,176,11
"Charter",2019,"Seward","NG",544,90,446,40
"Charter",2019,"Seward","PWSI",61,20,53,12
"Charter",2019,"Seward","PWSO",294,95,220,51
"Charter",2019,"Valdez","PWSI",21,15,18,5
"Charter",2019,"Valdez","PWSO",534,180,466,138
"Charter",2019,"Whittier","PWSI",167,190,86,98
"Charter",2019,"Whittier","PWSO",120,34,115,25
"Charter",2020,"Homer","CI",151,8,123,3
"Charter",2020,"Homer","NG",127,25,104,15
"Charter",2020,"Homer","PWSI",20,0,13,0
"Charter",2020,"Kodiak","AFOGNAK",5,0,0,0
"Charter",2020,"Kodiak","NORTHEAST",74,3,55,3
"Charter",2020,"Seward","NG",349,110,295,70
"Charter",2020,"Seward","PWSI",43,10,40,7
"Charter",2020,"Seward","PWSO",229,83,206,37
"Charter",2020,"Valdez","PWSI",68,38,49,8
"Charter",2020,"Valdez","PWSO",725,123,657,85
"Charter",2020,"Whittier","PWSI",181,133,73,52
"Charter",2020,"Whittier","PWSO",80,15,72,9
"Charter",2021,"Homer","AFOGNAK",96,13,18,8
"Charter",2021,"Homer","CI",99,4,83,2
"Charter",2021,"Homer","NG",245,20,215,13
"Charter",2021,"Kodiak","EASTSIDE",20,0,9,0
"Charter",2021,"Kodiak","NORTHEAST",333,11,299,8
"Charter",2021,"Seward","NG",432,82,393,34
"Charter",2021,"Seward","PWSI",124,15,108,6
"Charter",2021,"Seward","PWSO",197,32,163,19
"Charter",2021,"Valdez","PWSI",25,4,21,2
"Charter",2021,"Valdez","PWSO",508,82,450,63
"Charter",2021,"Whittier","PWSI",166,85,100,27
"Charter",2021,"Whittier","PWSO",72,9,65,2
"Charter",2022,"Homer","AFOGNAK",4,2,0,0
"Charter",2022,"Homer","CI",167,5,128,0
"Charter",2022,"Homer","NG",268,36,242,16
"Charter",2022,"Kodiak","EASTSIDE",31,0,31,0
"Charter",2022,"Kodiak","NORTHEAST",127,15,115,2
"Charter",2022,"Seward","NG",516,80,427,33
"Charter",2022,"Seward","PWSI",117,13,105,1
"Charter",2022,"Seward","PWSO",217,66,199,41
"Charter",2022,"Valdez","PWSI",90,39,79,18
"Charter",2022,"Valdez","PWSO",336,152,291,92
"Charter",2022,"Whittier","PWSI",682,137,435,26
"Charter",2022,"Whittier","PWSO",56,7,29,1
"Charter",2023,"Homer","AFOGNAK",0,6,0,5
"Charter",2023,"Homer","CI",136,8,78,1
"Charter",2023,"Homer","NG",182,24,164,13
"Charter",2023,"Kodiak","AFOGNAK",36,1,35,0
"Charter",2023,"Kodiak","EASTSIDE",32,0,27,0
"Charter",2023,"Kodiak","NORTHEAST",253,8,198,5
"Charter",2023,"Seward","NG",301,61,285,35
"Charter",2023,"Seward","PWSI",75,15,71,1
"Charter",2023,"Seward","PWSO",251,45,239,17
"Charter",2023,"Valdez","PWSI",38,49,26,18
"Charter",2023,"Valdez","PWSO",165,58,146,47
"Charter",2023,"Whittier","PWSI",99,43,63,6
"Charter",2023,"Whittier","PWSO",59,4,54,0
"Charter",1992,"Kodiak","NORTHEAST",0,0,0,0
"Charter",1992,"Kodiak","AFOGNAK",0,0,0,0
"Charter",1992,"Kodiak","NG",0,0,0,0
"Charter",1992,"Kodiak","CI",0,0,0,0
"Charter",1992,"Kodiak","PWSO",0,0,0,0
"Charter",1992,"Kodiak","PWSI",0,0,0,0
"Charter",1992,"Kodiak","EASTSIDE",0,0,0,0
"Charter",1992,"Kodiak","WESTSIDE",0,0,0,0
"Charter",1992,"Homer","NORTHEAST",0,0,0,0
"Charter",1992,"Homer","AFOGNAK",0,0,0,0
"Charter",1992,"Homer","NG",0,0,0,0
"Charter",1992,"Homer","CI",0,0,0,0
"Charter",1992,"Homer","PWSO",0,0,0,0
"Charter",1992,"Homer","PWSI",0,0,0,0
"Charter",1992,"Homer","EASTSIDE",0,0,0,0
"Charter",1992,"Homer","WESTSIDE",0,0,0,0
"Charter",1992,"Seward","NORTHEAST",0,0,0,0
"Charter",1992,"Seward","AFOGNAK",0,0,0,0
"Charter",1992,"Seward","NG",0,0,0,0
"Charter",1992,"Seward","CI",0,0,0,0
"Charter",1992,"Seward","PWSO",0,0,0,0
"Charter",1992,"Seward","PWSI",0,0,0,0
"Charter",1992,"Seward","EASTSIDE",0,0,0,0
"Charter",1992,"Seward","WESTSIDE",0,0,0,0
"Charter",1992,"Valdez","NORTHEAST",0,0,0,0
"Charter",1992,"Valdez","AFOGNAK",0,0,0,0
"Charter",1992,"Valdez","NG",0,0,0,0
"Charter",1992,"Valdez","CI",0,0,0,0
"Charter",1992,"Valdez","PWSO",0,0,0,0
"Charter",1992,"Valdez","PWSI",0,0,0,0
"Charter",1992,"Valdez","EASTSIDE",0,0,0,0
"Charter",1992,"Valdez","WESTSIDE",0,0,0,0
"Charter",1992,"Whittier","NORTHEAST",0,0,0,0
"Charter",1992,"Whittier","AFOGNAK",0,0,0,0
