"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt","bootstrap_sd"
145,"Charter",2012,"NG",104,25,3.52895667134475,1.75175643490202,0.16311214613716
145,"Charter",2012,"PWSI",91,23,3.32517089416834,1.52998725391845,0.161123280712768
145,"Charter",2012,"PWSO",241,28,4.47893728289805,1.66669169083322,0.11197864183647
145,"Charter",2013,"NG",128,27,4.38575571207958,1.66123719658931,0.14799423104516
145,"Charter",2013,"NORTHEAST",19,5,4.04736842105263,1.67011923095749,0.361177879976792
145,"Charter",2013,"PWSI",75,16,3.36771627993849,1.70697115417071,0.199271538460634
145,"Charter",2013,"PWSO",221,23,4.19899980806836,1.42183483341125,0.0918671488831266
145,"Charter",2014,"NG",74,21,3.87462305584292,2.12597513235389,0.250131678567736
145,"Charter",2014,"NORTHEAST",12,5,4.08333333333333,1.62471442712157,0.449120389962687
145,"Charter",2014,"PWSI",66,16,3.72469941050485,1.73634564082198,0.21137526192098
145,"Charter",2014,"PWSO",164,26,3.80919080006376,1.63232018869356,0.129007919632815
145,"Charter",2015,"NG",47,11,4.64469524286684,2.20256348095455,0.309954909275789
145,"Charter",2015,"PWSI",75,9,3.530929700272,1.34250668006033,0.15000511276286
145,"Charter",2015,"PWSO",209,23,3.92601440215263,1.56936285805438,0.105756280890123
145,"Charter",2016,"NG",74,22,3.69507382536005,2.16349119448643,0.247457520183432
145,"Charter",2016,"PWSI",80,17,3.44312450764514,1.64189400691705,0.18221315405682
145,"Charter",2016,"PWSO",208,26,4.03755425399465,1.53935813178203,0.104110873602531
145,"Charter",2017,"NG",47,17,3.76478542625719,1.64711003065449,0.234748650603071
145,"Charter",2017,"PWSI",114,8,3.45376453758913,1.30843517808409,0.125357400805089
145,"Charter",2017,"PWSO",105,18,3.95878847192945,1.83610947923624,0.176080007472556
145,"Charter",2018,"NG",91,23,3.80051964062392,1.70865544326519,0.178014067589166
145,"Charter",2018,"PWSI",66,11,2.91141797809292,1.41819343128182,0.174486132418143
145,"Charter",2018,"PWSO",130,23,4.04694483807345,1.49777785524401,0.129887110003535
145,"Charter",2019,"NG",91,25,4.05683353983173,1.98868927200253,0.201313830513738
145,"Charter",2019,"PWSI",115,14,3.83020789167215,1.39145596289305,0.131549534436425
145,"Charter",2019,"PWSO",214,26,3.8597552521037,1.49427712259712,0.100992618546165
