YEAR,CFMU,Assemblage,USER,RelCat,avg_WtKg,SE_WtKg,var_WtKg,P_Rel,PcatSurface,PcatDRM,Mort_rate
2007,CI,Black,Private,2,2.316666667,0.338049963,0.685666667,0.146186441,1,0,0.034915254
2014,CI,Black,Private,1,2.042857143,0.197988313,0.548791209,0.81779661,0.992227979,0.007772021,0
2014,CI,Black,Private,3,2.042857143,0.197988313,0.548791209,0.025423729,0.666666667,0.333333333,0.063061956
2014,CI,Black,Private,4,2.042857143,0.197988313,0.548791209,0.01059322,1,0,0.008602151
2014,CI,Black,Private,2,2.042857143,0.197988313,0.548791209,0.146186441,1,0,0.017806452
2004,CI,Black,Private,1,2.5,0.461880215,0.64,0.81779661,1,0,0.034915254
2004,CI,Black,Private,3,2.5,0.461880215,0.64,0.025423729,1,0,0.034915254
2004,CI,Black,Private,4,2.5,0.461880215,0.64,0.01059322,1,0,0.034915254
2004,CI,Black,Private,2,2.5,0.461880215,0.64,0.146186441,1,0,0.034915254
2006,CI,Yelloweye,Private,4,3.8,NA,NA,0.41014265,1,0,0.876968427
2006,CI,Yelloweye,Private,2,3.8,NA,NA,0.256873527,1,0,0.876968427
2018,CI,Yelloweye,Private,4,1.95,0.25,0.125,0.41014265,0.255362476,0.744637524,0.248972818
2018,CI,Yelloweye,Private,2,1.95,0.25,0.125,0.256873527,0.255362476,0.744637524,0.248972818
2013,CI,Yelloweye,Private,4,3.3,0.86216781,2.23,0.41014265,0.255362476,0.744637524,0.248972818
2013,CI,Yelloweye,Private,2,3.3,0.86216781,2.23,0.256873527,0.255362476,0.744637524,0.248972818
2004,CI,Yelloweye,Private,4,4.1,NA,NA,0.41014265,1,0,0.876968427
2004,CI,Yelloweye,Private,2,4.1,NA,NA,0.256873527,1,0,0.876968427
1997,CI,Yelloweye,Private,4,2.25,0.55,0.605,0.41014265,1,0,0.876968427
1997,CI,Yelloweye,Private,2,2.25,0.55,0.605,0.256873527,1,0,0.876968427
2005,CI,Yelloweye,Private,4,5.1,NA,NA,0.41014265,1,0,0.876968427
2005,CI,Yelloweye,Private,2,5.1,NA,NA,0.256873527,1,0,0.876968427
2023,CI,Yelloweye,Private,4,3.2,NA,NA,0.41014265,0.255362476,0.744637524,0.248972818
2023,CI,Yelloweye,Private,2,3.2,NA,NA,0.256873527,0.255362476,0.744637524,0.248972818
2014,CI,Yelloweye,Private,4,0.8,NA,NA,0.41014265,0.255362476,0.744637524,0.248972818
2014,CI,Yelloweye,Private,2,0.8,NA,NA,0.256873527,0.255362476,0.744637524,0.248972818
2021,CI,Yelloweye,Private,4,2.55,1.65,5.445,0.41014265,0.255362476,0.744637524,0.248972818
2021,CI,Yelloweye,Private,2,2.55,1.65,5.445,0.256873527,0.255362476,0.744637524,0.248972818
2011,CI,Yelloweye,Private,4,0.9,NA,NA,0.41014265,1,0,0.876968427
2011,CI,Yelloweye,Private,2,0.9,NA,NA,0.256873527,1,0,0.876968427
1993,NG,Black,Charter,3,1.77826087,0.079774019,0.29273913,0.052505967,1,0,0.082179793
1993,NG,Black,Charter,4,1.77826087,0.079774019,0.29273913,0.023070804,1,0,0.082179793
1993,NG,Black,Charter,2,1.77826087,0.079774019,0.29273913,0.37788385,1,0,0.082179793
1993,NG,Black,Charter,1,1.77826087,0.079774019,0.29273913,0.546539379,1,0,0.082179793
1999,NG,Black,Charter,3,1.915503876,0.054033635,0.376632752,0.052505967,1,0,0.082179793
