"","port_site","RptArea","Freq"
"569","CEDARS LODGE","EASTSIDE",0
"570","CLOVER BAY","EASTSIDE",0
"571","CLOVER PASS","EASTSIDE",0
"572","COFFMAN COVE","EASTSIDE",0
"573","CORDOVA","EASTSIDE",0
"574","CRAIG","EASTSIDE",0
"575","DEEP CREEK","EASTSIDE",0
"576","DOUGLAS","EASTSIDE",0
"577","DOVE ISLAND LODGE","EASTSIDE",0
"578","EL CAPITAN LODGE","EASTSIDE",0
"579","ELFIN COVE","EASTSIDE",0
"580","FIREWEED LODGE","EASTSIDE",0
"581","FISHERMANS BEND","EASTSIDE",0
"582","GULL COVE","EASTSIDE",0
"583","GUSTAVUS","EASTSIDE",0
"584","HAINES","EASTSIDE",0
"585","HALIBUT COVE","EASTSIDE",0
"586","HAPPY VALLEY","EASTSIDE",0
"587","HOMER","EASTSIDE",0
"588","HOONAH","EASTSIDE",0
"589","ICY BAY LODGE","EASTSIDE",0
"590","IRON CREEK","EASTSIDE",0
"591","JUNEAU","EASTSIDE",0
"592","KAKE","EASTSIDE",0
"593","KELP BAY","EASTSIDE",0
"594","KETCHIKAN","EASTSIDE",0
"595","KHAZ BAY","EASTSIDE",0
"596","KILIUDA BAY","EASTSIDE",58
"597","KILLISNOO","EASTSIDE",0
"598","KLAWOCK","EASTSIDE",0
"599","KNUDSON COVE","EASTSIDE",0
"600","KODIAK","EASTSIDE",121
"601","LARSEN BAY","EASTSIDE",0
"602","LOWELL POINT","EASTSIDE",0
"603","MEYERS CHUCK","EASTSIDE",0
"604","MORNE ISLAND","EASTSIDE",0
"605","MOTHER SHIP","EASTSIDE",0
"606","MOTHERSHIP","EASTSIDE",4
"607","MOTHERSHIP- LISERON","EASTSIDE",0
"608","MOTHERSHIP-LISERON","EASTSIDE",0
"609","NAKALILOK BAY","EASTSIDE",0
"610","NARROWS INN","EASTSIDE",0
"611","NAUKATI","EASTSIDE",0
"612","NINILCHIK","EASTSIDE",0
"613","NORTH DOUGLAS","EASTSIDE",0
"614","OLD HARBOR","EASTSIDE",35
"615","ORCA POINT LODGE","EASTSIDE",0
"616","ORR ISLAND","EASTSIDE",0
"617","OTTER COVE","EASTSIDE",0
"618","PARKS CANNERY","EASTSIDE",0
"619","PELICAN","EASTSIDE",0
"620","PETERSBURG","EASTSIDE",0
"621","POINT BAKER","EASTSIDE",0
"622","PORT ALEXANDER","EASTSIDE",0
"623","PORT ASHTON","EASTSIDE",0
"624","PORT LIONS","EASTSIDE",1
"625","PORT PROTECTION","EASTSIDE",0
"626","PORT ST NICHOLAS","EASTSIDE",0
"627","PORT WAKEFIELD","EASTSIDE",0
"628","PYBUS BAY","EASTSIDE",0
"629","PYBUS POINT LODGE","EASTSIDE",0
"630","RASPBERRY ISLAND","EASTSIDE",0
"631","REFUGE COVE","EASTSIDE",0
"632","SALMON FALLS","EASTSIDE",0
"633","SALMON FALLS RESORT","EASTSIDE",0
"634","SALTERY COVE (SC)","EASTSIDE",2
"635","SEA OTTER SOUND","EASTSIDE",0
"636","SEAL BAY (SC)","EASTSIDE",0
"637","SEALING COVE","EASTSIDE",0
"638","SELDOVIA","EASTSIDE",0
"639","SEWARD","EASTSIDE",0
"640","SILVER KING LODGE","EASTSIDE",0
"641","SILVER SALMON","EASTSIDE",0
"642","SILVER SALMON CREEK","EASTSIDE",0
"643","SITKA","EASTSIDE",0
"644","SITKOH BAY","EASTSIDE",0
"645","SKAGWAY","EASTSIDE",0
"646","SPORTSMAN COVE","EASTSIDE",0
"647","ST HERMAN HARBOR","EASTSIDE",1
"648","STEAMBOAT BAY","EASTSIDE",0
"649","SUNNYSIDE","EASTSIDE",0
"650","TENAKEE","EASTSIDE",0
"651","THORNE BAY","EASTSIDE",0
"652","TUTKA BAY","EASTSIDE",0
"653","UGAK BAY","EASTSIDE",42
"654","UGANIK BAY","EASTSIDE",0
"655","UYAK BAY","EASTSIDE",0
"656","VALDEZ","EASTSIDE",0
"657","WADLEIGH ISLAND","EASTSIDE",0
"658","WARD COVE","EASTSIDE",0
"659","WARM SPRINGS BAY","EASTSIDE",0
"660","WATERFALL","EASTSIDE",0
"661","WATERFALL RESORT","EASTSIDE",0
"662","WHALE PASS (POW - SE)","EASTSIDE",0
"663","WHITTIER","EASTSIDE",0
"664","WRANGELL","EASTSIDE",0
"665","YAKUTAT","EASTSIDE",0
"666","ZACHAR BAY","EASTSIDE",0
"667","ADAK","EYKT",0
"668","AFOGNAK","EYKT",0
"669","AMOOK PASS","EYKT",0
"670","ANCHOR POINT","EYKT",0
"671","ANCHOR RIVER","EYKT",0
"672","ANGOON","EYKT",0
"673","ANTON LARSEN BAY","EYKT",0
"674","APPLE ISLAND","EYKT",0
"675","AUKE BAY","EYKT",0
"676","BABE ISLANDS LODGE","EYKT",0
"677","BARANOF","EYKT",0
"678","BARTLETT COVE","EYKT",0
"679","CANNERY COVE","EYKT",0
"680","CEDARS LODGE","EYKT",0
"681","CLOVER BAY","EYKT",0
"682","CLOVER PASS","EYKT",0
"683","COFFMAN COVE","EYKT",0
